"Item Lookup Code","URL","Found","Raw Description","Brand"
"000000004048","https://www.upcitemdb.com/upc/000000004048","No",,
"850008871368","https://www.upcitemdb.com/upc/850008871368","No",,
"076840003068","https://www.upcitemdb.com/upc/076840003068","No",,
"859389007083","https://www.upcitemdb.com/upc/859389007083","No",,
"859389007182","https://www.upcitemdb.com/upc/859389007182","No",,
"859389007069","https://www.upcitemdb.com/upc/859389007069","No",,
"859389007045","https://www.upcitemdb.com/upc/859389007045","No",,
"859389007038","https://www.upcitemdb.com/upc/859389007038","No",,
"859389007014","https://www.upcitemdb.com/upc/859389007014","No",,
"012993441135","https://www.upcitemdb.com/upc/012993441135","No",,
"071990000158","https://www.upcitemdb.com/upc/071990000158","No",,
"076840003051","https://www.upcitemdb.com/upc/076840003051","No",,
"854560005766","https://www.upcitemdb.com/upc/854560005766","No",,
"819597013306","https://www.upcitemdb.com/upc/819597013306","No",,
"819597013313","https://www.upcitemdb.com/upc/819597013313","No",,
"819597013320","https://www.upcitemdb.com/upc/819597013320","No",,
"819597013290","https://www.upcitemdb.com/upc/819597013290","No",,
"850008871382","https://www.upcitemdb.com/upc/850008871382","No",,
"850008871405","https://www.upcitemdb.com/upc/850008871405","No",,
"835228007650","https://www.upcitemdb.com/upc/835228007650","No",,
"835228003843","https://www.upcitemdb.com/upc/835228003843","No",,
"835228003850","https://www.upcitemdb.com/upc/835228003850","No",,
"819898014910","https://www.upcitemdb.com/upc/819898014910","No",,
"186852001423","https://www.upcitemdb.com/upc/186852001423","No",,
"853794008611","https://www.upcitemdb.com/upc/853794008611","No",,
"853794008628","https://www.upcitemdb.com/upc/853794008628","No",,
"853794008604","https://www.upcitemdb.com/upc/853794008604","No",,
"853794008598","https://www.upcitemdb.com/upc/853794008598","No",,
"817670011898","https://www.upcitemdb.com/upc/817670011898","No",,
"817670012185","https://www.upcitemdb.com/upc/817670012185","No",,
"084114901675","https://www.upcitemdb.com/upc/084114901675","No",,
"718604978143","https://www.upcitemdb.com/upc/718604978143","No",,
"606541933700","https://www.upcitemdb.com/upc/606541933700","No",,
"854560005759","https://www.upcitemdb.com/upc/854560005759","No",,
"015839096827","https://www.upcitemdb.com/upc/015839096827","No",,
"015839008714","https://www.upcitemdb.com/upc/015839008714","No",,
"602652286902","https://www.upcitemdb.com/upc/602652286902","No",,
"602652286896","https://www.upcitemdb.com/upc/602652286896","No",,
"602652286872","https://www.upcitemdb.com/upc/602652286872","No",,
"698997810346","https://www.upcitemdb.com/upc/698997810346","No",,
"850011737002","https://www.upcitemdb.com/upc/850011737002","No",,
"850011737019","https://www.upcitemdb.com/upc/850011737019","No",,
"850011737026","https://www.upcitemdb.com/upc/850011737026","No",,
"850011737033","https://www.upcitemdb.com/upc/850011737033","No",,
"080868029023","https://www.upcitemdb.com/upc/080868029023","No",,
